taxonid,scientific_name,subspecies,rank,subpopulation,category,Common Name,Species Class,Threat Class
1550,Anomalurus derbianus,,,,LC,Lord Derby's Scaly-tailed Squirrel,MAMMALIA,LC
1553,Anomalurus pusillus,,,,LC,Dwarf Scaly-tailed Squirrel,MAMMALIA,LC
1794,Aonyx congicus,,,,NT,Congo Clawless Otter,MAMMALIA,NT
2053,Arctocebus aureus,,,,LC,Golden Angwantibo,MAMMALIA,LC
2353,Atherurus africanus,,,,LC,African Brush-tailed Porcupine,MAMMALIA,LC
2476,Balaenoptera edeni,,,,LC,Bryde's Whale,MAMMALIA,LC
4138,Cephalophus callipygus,,,,LC,Peters' Duiker,MAMMALIA,LC
4139,Cephalophus dorsalis,,,,NT,Bay Duiker,MAMMALIA,NT
4141,Cephalophus leucogaster,,,,NT,White-bellied Duiker,MAMMALIA,NT
4143,Philantomba monticola,,,,LC,Blue Duiker,MAMMALIA,LC
4146,Cephalophus nigrifrons,,,,LC,Black-fronted Duiker,MAMMALIA,LC
4148,Cephalophus ogilbyi,,,,LC,Ogilby's Duiker,MAMMALIA,LC
4150,Cephalophus silvicultor,,,,NT,Yellow-backed Duiker,MAMMALIA,NT
4201,Cercocebus torquatus,,,,EN,Red-capped Mangabey,MAMMALIA,EN
4214,Cercopithecus cephus,,,,LC,Moustached Monkey,MAMMALIA,LC
4218,Cercopithecus erythrotis,,,,VU,Red-eared Monkey,MAMMALIA,VU
4223,Cercopithecus neglectus,,,,LC,De Brazza’s Monkey,MAMMALIA,LC
4224,Cercopithecus nictitans,,,,NT,Putty-nosed Monkey,MAMMALIA,NT
4227,Allochrocebus preussi,,,,EN,Preuss’s Monkey,MAMMALIA,EN
4235,Cercopithecus erythrotis ssp. erythrotis,erythrotis,ssp.,,VU,Bioko Red-eared Monkey,MAMMALIA,VU
4237,Allochrocebus preussi ssp. insularis,insularis,ssp.,,EN,Bioko Preuss’s Monkey,MAMMALIA,EN
4239,Cercopithecus pogonias ssp. pogonias,pogonias,ssp.,,VU,Golden-bellied Crowned Monkey,MAMMALIA,VU
4615,Chelonia mydas,,,,EN,Green Turtle,REPTILIA,EN
5145,Colobus satanas,,,,VU,Black Colobus,MAMMALIA,VU
5263,Conraua goliath,,,,EN,Giant Slippery Frog,AMPHIBIA,EN
5660,Mecistops cataphractus,,,,CR,Slender-snouted Crocodile,REPTILIA,CR
5674,Crocuta crocuta,,,,LC,Spotted Hyaena,MAMMALIA,LC
6410,Dendrohyrax dorsalis,,,,LC,Western Tree Hyrax,MAMMALIA,LC
6494,Dermochelys coriacea,,,,VU,Leatherback,REPTILIA,VU
7084,Eidolon helvum,,,,NT,African Straw-coloured Fruit-bat,MAMMALIA,NT
7899,Epixerus ebii,,,,LC,Western Palm Squirrel,MAMMALIA,LC
8005,Eretmochelys imbricata,,,,CR,Hawksbill Turtle,REPTILIA,CR
8265,Euoticus elegantulus,,,,LC,Southern Needle-clawed Galago,MAMMALIA,LC
8266,Euoticus pallidus,,,,LC,Northern Needle-clawed Galago,MAMMALIA,LC
8551,Feresa attenuata,,,,LC,Pygmy Killer Whale,MAMMALIA,LC
8785,Sciurocheirus alleni,,,,LC,Allen's Galago,MAMMALIA,LC
9249,Globicephala macrorhynchus,,,,LC,Short-finned Pilot Whale,MAMMALIA,LC
9404,Gorilla gorilla,,,,CR,Western Gorilla,MAMMALIA,CR
9406,Gorilla gorilla ssp. gorilla,gorilla,ssp.,,CR,Western Lowland Gorilla,MAMMALIA,CR
9493,Graphiurus surdus,,,,DD,Silent Dormouse,MAMMALIA,DD
9833,Heliosciurus rufobrachium,,,,LC,Red-legged Sun Squirrel,MAMMALIA,LC
10103,Hippopotamus amphibius,,,,VU,Hippopotamus,MAMMALIA,VU
10112,Hipposideros beatus,,,,LC,Benito Roundleaf Bat,MAMMALIA,LC
10115,Hipposideros caffer,,,,LC,Sundevall's Roundleaf Bat,MAMMALIA,LC
10125,Hipposideros curtus,,,,VU,Short-tailed Roundleaf Bat,MAMMALIA,VU
